value, keys inserted, insertion time (s), keys retrieved, retrieval time (s)
399, 100000,0.423686,100000,3.400485
400, 100000,0.317837,100000,4.144954
401, 100000,0.343422,100000,4.023144
402, 100000,0.188882,100000,4.566374
403, 100000,0.236625,100000,4.301735
404, 100000,0.246304,100000,4.249409
405, 100000,0.310632,100000,4.337847
406, 100000,0.319126,100000,3.981143
407, 100000,0.277686,100000,4.751318
408, 100000,0.418010,100000,3.370353
409, 100000,0.214534,100000,6.378160
410, 100000,0.519860,100000,3.326443
411, 100000,0.330246,100000,3.890976
412, 100000,0.628014,100000,3.509626
413, 100000,0.327387,100000,4.171551
414, 100000,0.209452,100000,4.728508
415, 100000,0.371763,100000,3.771362
416, 100000,0.781337,100000,6.650300
417, 100000,0.259944,100000,4.068525
418, 100000,0.284458,100000,4.715348
419, 100000,0.414815,100000,3.408345
420, 100000,0.496185,100000,3.433561
421, 100000,0.334643,100000,3.400846
422, 100000,0.308693,100000,3.760161
423, 100000,0.702874,100000,4.594448
424, 100000,0.364765,100000,3.644020
425, 100000,0.399124,100000,3.546632
426, 100000,0.221842,100000,4.107817
427, 100000,0.255603,100000,5.068643
428, 100000,0.460306,100000,4.189707
429, 100000,0.227802,100000,4.181931
430, 100000,0.565649,100000,3.277265
431, 100000,0.226842,100000,4.688085
432, 100000,0.220466,100000,4.553394
433, 100000,0.311430,100000,4.095189
434, 100000,0.288082,100000,4.213467
435, 100000,0.474753,100000,3.267393
436, 100000,0.262882,100000,4.102233
437, 100000,0.304164,100000,4.033228
438, 100000,0.511454,100000,3.507616
439, 100000,0.438721,100000,3.370409
440, 100000,0.453231,100000,3.919171
441, 100000,0.399841,100000,3.638287
442, 100000,0.560655,100000,3.217693
443, 100000,0.341518,100000,4.280560
444, 100000,0.380459,100000,4.334561
445, 100000,0.341814,100000,6.124468
446, 100000,0.426441,100000,6.715760
447, 100000,0.551032,100000,4.372525
448, 100000,0.455666,100000,3.587351
449, 100000,0.208900,100000,4.649818
450, 100000,0.557098,100000,3.443635
451, 100000,0.432424,100000,4.175894
452, 100000,0.367932,100000,3.636900
453, 100000,0.391913,100000,3.854555
454, 100000,0.237335,100000,4.285183
455, 100000,0.498309,100000,3.804955
456, 100000,0.340403,100000,3.897836
457, 100000,0.423199,100000,3.681489
458, 100000,0.397400,100000,3.885845
459, 100000,0.373777,100000,4.263273
460, 100000,0.424815,100000,3.335701
461, 100000,0.643302,100000,3.360046
462, 100000,0.301596,100000,4.229021
463, 100000,0.274475,100000,3.847695
464, 100000,0.214887,100000,4.070829
465, 100000,0.393740,100000,3.359715
466, 100000,0.221370,100000,4.580812
467, 100000,0.366838,100000,3.801874
468, 100000,0.286338,100000,4.785055
469, 100000,0.344306,100000,4.148143
470, 100000,0.252870,100000,4.423176
471, 100000,0.396341,100000,3.614352
472, 100000,0.370692,100000,3.755325
473, 100000,0.216777,100000,4.244021
474, 100000,0.504506,100000,3.238533
475, 100000,0.280144,100000,4.399639
476, 100000,0.397193,100000,3.581176
477, 100000,0.508498,100000,3.430367
478, 100000,0.469073,100000,3.348616
479, 100000,0.348041,100000,3.615940
480, 100000,0.499847,100000,3.469445
481, 100000,0.413579,100000,3.452240
482, 100000,0.362049,100000,4.071669
483, 100000,0.387455,100000,3.890728
484, 100000,0.571702,100000,3.255067
485, 100000,0.256870,100000,4.250862
486, 100000,0.323538,100000,4.342292
487, 100000,0.368633,100000,3.628857
488, 100000,0.347245,100000,4.040778
489, 100000,0.401683,100000,3.769824
490, 100000,0.579900,100000,3.685218
491, 100000,0.404761,100000,3.675887
492, 100000,0.341821,100000,4.642604
493, 100000,0.474296,100000,3.477240
494, 100000,0.415711,100000,3.466782
495, 100000,0.413895,100000,3.819188
496, 100000,0.543441,100000,3.749154
497, 100000,0.313261,100000,3.426216
498, 100000,0.413960,100000,3.666854
499, 100000,0.265062,100000,5.056628
500, 100000,0.267874,100000,4.995983
501, 100000,0.337497,100000,4.316244
502, 100000,0.451403,100000,3.866252
503, 100000,0.372729,100000,3.644477
504, 100000,0.525769,100000,3.382764
505, 100000,0.378981,100000,4.333045
506, 100000,0.294304,100000,4.128252
507, 100000,0.367390,100000,3.557639
508, 100000,0.567487,100000,3.580418
509, 100000,0.477295,100000,3.289772
510, 100000,0.559299,100000,3.479491
511, 100000,0.547468,100000,3.446920
512, 100000,0.418626,100000,3.773817
513, 100000,0.878237,100000,3.523168
514, 100000,0.423951,100000,3.610094
515, 100000,0.392817,100000,3.983290
516, 100000,0.624403,100000,3.272387
517, 100000,0.561304,100000,3.518444
518, 100000,0.389171,100000,7.700353
519, 100000,0.449202,100000,5.181724
520, 100000,0.395320,100000,3.715272
521, 100000,0.437025,100000,3.595234
522, 100000,0.398763,100000,4.099996
523, 100000,0.448695,100000,4.106726
524, 100000,0.519554,100000,3.306002
525, 100000,0.301540,100000,3.536182
526, 100000,0.294863,100000,4.115700
527, 100000,0.436403,100000,3.570401
528, 100000,0.447591,100000,3.764386
529, 100000,0.443257,100000,4.123576
530, 100000,0.553731,100000,3.370422
531, 100000,0.445521,100000,3.983200
532, 100000,0.465802,100000,4.190646
533, 100000,0.327466,100000,4.359159
534, 100000,0.489012,100000,3.707927
535, 100000,0.408895,100000,3.700008
536, 100000,0.568537,100000,3.569535
537, 100000,0.432952,100000,3.589366
538, 100000,0.454867,100000,3.975290
539, 100000,0.413061,100000,4.406655
540, 100000,0.508791,100000,3.868519
541, 100000,0.397837,100000,3.954351
542, 100000,0.457487,100000,3.279237
543, 100000,0.304594,100000,3.846182
544, 100000,0.304070,100000,4.257882
545, 100000,0.321843,100000,4.384823
546, 100000,0.440186,100000,5.655158
547, 100000,0.438190,100000,3.332077
548, 100000,0.318667,100000,4.395979
549, 100000,0.635871,100000,3.404140
550, 100000,0.477621,100000,3.492780
551, 100000,0.696570,100000,3.528767
552, 100000,0.494999,100000,4.115490
553, 100000,0.457007,100000,3.858594
554, 100000,0.354653,100000,3.598577
555, 100000,0.428845,100000,4.020547
556, 100000,0.375581,100000,3.765785
557, 100000,0.326242,100000,4.419168
558, 100000,0.390575,100000,3.770359
559, 100000,0.484500,100000,3.480957
560, 100000,0.429998,100000,3.592837
561, 100000,0.385669,100000,3.886733
562, 100000,0.273682,100000,4.422544
563, 100000,0.457577,100000,3.242537
564, 100000,0.467690,100000,4.544558
565, 100000,0.358950,100000,4.411632
566, 100000,0.480276,100000,4.354769
567, 100000,0.239533,100000,4.463049
568, 100000,0.516019,100000,3.548101
569, 100000,0.450675,100000,4.319520
570, 100000,0.410555,100000,4.672813
571, 100000,0.401736,100000,3.711186
572, 100000,0.519002,100000,3.848138
573, 100000,0.247807,100000,4.718298
574, 100000,0.577692,100000,3.633567
575, 100000,0.587957,100000,3.213138
576, 100000,0.405145,100000,3.315895
577, 100000,0.667221,100000,3.501931
578, 100000,0.319303,100000,4.146950
579, 100000,0.557219,100000,3.085153
580, 100000,0.536522,100000,3.328186
581, 100000,0.411855,100000,3.649177
582, 100000,0.365495,100000,3.879140
583, 100000,0.705915,100000,3.201132
